g_B,lambda_det,block_gap_LB_units,gap_gt_3,ground_energy
1.3599999999999999,0.2,1.4028894490315027,False,-2.194152535425575
1.38,0.0,1.3974750682054529,False,-1.9645455011347135
1.38,0.02,1.3953016772029365,False,-1.9650275841803686
1.38,0.05,1.3842928413972468,False,-1.9675754579999747
1.38,0.1,1.3495342479720651,False,-1.976910291950375
1.38,0.2,1.2530578045281768,False,-2.0180925360843256
1.4,0.0,1.258218098017303,False,-1.7937071737430244
1.4,0.02,1.2559537378769676,False,-1.7942617850204006
1.4,0.05,1.244544730084333,False,-1.7971963894864171
1.4,0.1,1.2091376267793672,False,-1.8079954008164902
1.4,0.2,1.1157856668875308,False,-1.856385744755374
1.42,0.0,1.1299230325336618,False,-1.6355479161580642
1.42,0.02,1.1275681747750512,False,-1.6361852934770564
1.42,0.05,1.115776414815721,False,-1.6395625303699177
1.42,0.1,1.0799098873466317,False,-1.652055354912753
1.42,0.2,0.9911886701173164,False,-1.7090376183441547
1.44,0.0,1.0123382600260202,False,-1.489732459585422
1.44,0.02,1.0098937985064602,False,-1.4904637448539275
1.44,0.05,0.9977417945656701,False,-1.4943450252744304
1.44,0.1,0.9616428935081349,False,-1.5087914798748807
1.44,0.2,0.8793258348909624,False,-1.5760013407271751
1.46,0.0,0.9051185670786169,False,-1.3558353263392748
1.46,0.02,0.9025857714149068,False,-1.3566725274161426
1.46,0.05,0.8901014178945135,False,-1.361124823209671
